Albania,28748,2994667,104.1,Tirana
Andorra,468,84082,146.2,Andorra la Vella
Armenia,29743,3018854,101.5,Yerevan
Austria,83858,8217280,97.9,Vienna
Azerbaijan,86600,8922000,103,Baku
Belarus,207600,9434000,45.4,Minsk
Belgium,30510,10431477,341.9,Brussels
Bosnia and Herz.,51129,3890000,76,Sarajevo
Bulgaria,110910,7093635,63.9,Sofia
Croatia,56542,4290612,75.8,Zagreb
Cyprus,9251,838897,117,Nicosia
Czech Republic,78866,10190213,129.2,Prague
Denmark,43094,5529888,128.3,Copenhagen
Estonia,45226,1282963,28.3,Tallinn
Finland,336593,5259250,15.6,Helsinki
France,547030,63248000,115.6,Paris
Germany,357021,81440000,228.1,Berlin
Georgia,69700,3728573,118.1,Tbilisi
Greece,131940,10760136,81.5,Athens
Hungary,93030,9976062,107.2,Budapest
Iceland,103000,311058,3,Reykjavík
Ireland,70280,4581269,65.1,Dublin
Italy,301230,60681514,201.4,Rome
Latvia,64589,2204708,34.1,Riga
Liechtenstein,160,35236,220.2,Vaduz
Lithuania,65200,3207100,49.1,Vilnius
Luxembourg,2586,503302,194.6,Luxembourg
Malta,316,408333,1292.1,Valletta
Moldova,33843,3560400,105.2,Chişinău
Monaco,1.95,30339,15661,Monaco
Montenegro,13812,625266,45.2,Podgorica
Netherlands,41526,16695000,402,Amsterdam
North Macedonia,25333,2055004,81.1,Skopje
Norway,324220,4691849,14.4,Oslo
Poland,312685,38038000,121.6,Warsaw
Portugal,91568,10555853,115.2,Lisbon
Romania,238391,19042936,79.8,Bucharest
Russia,17075400,138739892,8.1,Moscow
San Marino,61,31817,521.5,San Marino
Serbia,77474,7310555,94.3,Belgrade
Slovakia,48845,5435273,111.2,Bratislava
Slovenia,20273,2000092,98.6,Ljubljana
Spain,504851,46144000,91.4,Madrid
Sweden,449964,9088728,20.1,Stockholm
Switzerland,41290,7639961,185,Bern
Turkey,744820,72153000,96.8,Ankara
Ukraine,603628,45134707,74.7,Kyiv
UK,244820,62300000,254.4,London
Vatican,0.44,800,1818.1,Vatican City
